Country Code,Name,Location,System ID,URL,Auto-Discovery URL,Scooter URL
US,Spin Phoenix,"Phoenix, AZ",spin phoenix,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/phoenix/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/phoenix/free_bike_status.json
US,Spin Pittsburgh,"Pittsburgh, PA",spin pittsburgh,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/pittsburgh/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/pittsburgh/free_bike_status.json
US,Spin Portland,"Portland, OR",spin portland,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/portland/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/portland/free_bike_status.json
US,Spin Providence,"Providence, RI",spin providence,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/providence/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/providence/free_bike_status.json
US,Spin Provo,"Provo, UT",spin provo,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/provo/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/provo/free_bike_status.json
US,Spin Purdue University,"West Lafayette, IN",spin purdue_university,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/purdue_university/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/purdue_university/free_bike_status.json
US,Spin Raleigh,"Raleigh, NC",spin raleigh,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/raleigh/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/raleigh/free_bike_status.json
US,Spin Salem,"Salem, MA",spin salem,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/salem/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/salem/free_bike_status.json
US,Spin Salt Lake City,"Salt Lake City, UT",spin salt_lake_city,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/salt_lake_city/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/salt_lake_city/free_bike_status.json
US,Spin San Antonio,"San Antonio, TX",spin san_antonio,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/san_antonio/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/san_antonio/free_bike_status.json
